player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR
00-0029492,Jamize Olawale,RB,9,18.6,2.07,-133.5,-66.1,-1.465,-0.737
00-0033895,Gerald Everett,TE,13,55.6,4.28,-154.9,-66.0,-1.727,-0.739
00-0033295,Elijah McGuire,RB,13,58.0,4.46,-160.0,-65.1,-1.803,-0.753
00-0033528,Jeremy Sprinkle,TE,8,8.2,1.02,-122.8,-68.7,-1.33,-0.759
00-0031665,Zachary Zenner,RB,8,8.6,1.07,-130.2,-68.6,-1.414,-0.762
00-0031897,Thomas Rawls,RB,10,25.3,2.53,-140.7,-69.0,-1.558,-0.775
00-0021547,Antonio Gates,TE,13,52.4,4.03,-159.1,-68.5,-1.794,-0.781
00-0032417,Paul Perkins,RB,9,17.8,1.98,-135.0,-69.7,-1.484,-0.785
00-0032741,Kenneth Barber,RB,13,53.5,4.12,-164.1,-69.2,-1.839,-0.796
00-0029319,Joshua Bellamy,WR,12,43.7,3.64,-153.7,-69.2,-1.733,-0.797
00-0028042,Lucas Stocker,TE,9,12.3,1.37,-130.7,-69.8,-1.471,-0.799
00-0033921,Rod Godwin,WR,13,52.8,4.06,-163.2,-68.8,-1.852,-0.802
00-0032977,Rashard Higgins,WR,12,41.8,3.48,-157.9,-71.4,-1.759,-0.808
00-0029795,Benjamin Cunningham,RB,11,33.8,3.07,-151.6,-70.6,-1.698,-0.81
00-0032054,Breshad Perriman,WR,9,12.4,1.38,-135.0,-71.2,-1.524,-0.82
00-0030460,Markus Wheaton,WR,8,1.9,0.24,-134.7,-75.2,-1.456,-0.833
00-0031690,Eric Tomlinson,TE,11,26.1,2.37,-148.9,-73.4,-1.682,-0.836
00-0031055,Andre Williams,RB,8,2.5,0.31,-131.5,-73.0,-1.467,-0.837
00-0032166,Sammie Coates,WR,9,11.2,1.24,-134.6,-71.8,-1.541,-0.839
00-0030089,Luke Willson,TE,13,47.8,3.68,-162.8,-71.7,-1.847,-0.84
00-0028063,Taiwan Jones,RB,8,2.1,0.26,-129.9,-72.7,-1.464,-0.84
00-0032120,Neal Sterling,TE,8,2.3,0.29,-131.1,-75.7,-1.423,-0.841
00-0029731,Foswhitt Whittaker,RB,9,13.4,1.49,-142.1,-74.5,-1.564,-0.843
00-0030465,Kenjon Barner,RB,10,18.0,1.8,-148.8,-73.6,-1.674,-0.846
00-0033896,Adam Shaheen,TE,13,48.7,3.75,-162.8,-72.2,-1.843,-0.847
00-0033911,Taywan Taylor,WR,13,48.1,3.7,-167.8,-75.4,-1.869,-0.852
00-0033296,Alexander Armah,RB,8,0.0,0.0,-135.3,-76.2,-1.498,-0.866
00-0029587,Rhett Ellison,TE,13,45.7,3.52,-164.8,-75.9,-1.853,-0.873
00-0030147,Russell Shepard,WR,13,44.1,3.39,-170.3,-77.5,-1.905,-0.876
00-0028116,Aldrick Robinson,WR,13,45.3,3.48,-169.1,-76.3,-1.904,-0.877
00-0032115,Kaelin Clay,WR,10,16.5,1.65,-151.3,-77.0,-1.683,-0.878
00-0027057,Brandon Tate,WR,10,15.6,1.56,-152.1,-78.2,-1.683,-0.88
00-0031260,Logan Thomas,TE,11,23.2,2.11,-154.3,-77.6,-1.726,-0.88
00-0032935,Johnny Holton,WR,13,44.8,3.45,-169.6,-76.7,-1.91,-0.883
00-0032098,Daniel Brown,TE,11,24.7,2.25,-153.7,-75.4,-1.759,-0.884
00-0033858,Jonnu Smith,TE,13,44.2,3.4,-166.3,-77.4,-1.866,-0.886
00-0031782,Eli Rogers,WR,11,27.4,2.49,-156.2,-77.2,-1.753,-0.886
00-0028263,Andre Holmes,WR,13,43.0,3.31,-173.1,-78.6,-1.93,-0.887
00-0031514,JaQuan Bray,WR,9,6.9,0.77,-138.6,-76.0,-1.58,-0.888
00-0029740,Ifeanyi Momah,TE,9,6.1,0.68,-136.6,-77.5,-1.538,-0.89
00-0031599,Cameron Artis-Payne,RB,10,15.1,1.51,-152.1,-77.2,-1.708,-0.89
00-0029572,Jarius Wright,WR,13,45.9,3.53,-169.2,-76.8,-1.918,-0.894
00-0028142,Virgil Green,TE,13,44.0,3.38,-165.7,-78.2,-1.87,-0.895
00-0033572,Jamal Agnew,WR,10,15.1,1.51,-148.7,-77.8,-1.682,-0.897
00-0032227,Jeffrey Heuerman,TE,11,24.4,2.22,-152.2,-79.1,-1.703,-0.897
00-0028093,Niles Paul,TE,11,25.2,2.29,-154.3,-78.9,-1.735,-0.906
00-0032980,Marcus Johnson,WR,9,4.2,0.47,-142.0,-78.3,-1.609,-0.908
00-0030117,Kerwynn Williams,RB,13,44.2,3.4,-174.4,-80.1,-1.953,-0.915
00-0028083,Jacquizz Rodgers,RB,13,42.6,3.28,-175.0,-80.1,-1.96,-0.917
