player_id,name,pos,gp,pts,WAA,WAR
00-0021206,Joshua McCown,QB,86,634.4,-10.498,-2.193
00-0039041,Elijah Higgins,TE,33,107.2,-4.642,-2.2
00-0037156,Irvin Charles,WR,21,0.0,-3.91,-2.204
00-0036955,Terrace Marshall,WR,33,119.2,-4.855,-2.207
00-0032431,Jacob Rudock,QB,20,-1.0,-3.996,-2.21
00-0030117,Kerwynn Williams,RB,28,70.0,-4.473,-2.211
00-0030391,Michael James,RB,28,60.2,-4.469,-2.214
00-0035639,Parris Campbell,WR,46,250.2,-5.89,-2.214
00-0038783,Nathan Adkins,TE,27,55.5,-4.198,-2.219
00-0030789,Antonio Andrews,RB,32,101.1,-4.867,-2.226
00-0029311,Kenneth Hemingway,WR,26,50.8,-4.39,-2.228
00-0031118,Corey Brown,WR,39,183.8,-5.401,-2.234
00-0033911,Taywan Taylor,WR,33,119.8,-4.82,-2.234
00-0027659,James Clausen,QB,22,15.6,-4.211,-2.238
00-0033720,Colin Thompson,TE,22,8.2,-3.719,-2.239
00-0034411,Russell Gage,WR,59,371.3,-6.965,-2.254
00-0039912,Ben Sinnott,TE,25,30.2,-4.086,-2.267
00-0029614,Christopher Givens,WR,49,269.1,-6.42,-2.277
00-0031577,Javorius Allen,RB,59,360.9,-7.26,-2.277
00-0039530,Brevyn Spann-Ford,TE,26,38.5,-4.14,-2.279
00-0034366,Key'vantanie Coutee,WR,38,165.6,-5.31,-2.28
00-0036879,Samuel Ehlinger,QB,24,14.5,-4.716,-2.28
00-0023506,Edwin Smith,TE,24,28.6,-4.148,-2.283
00-0039746,William Shipley,RB,24,19.7,-4.354,-2.283
00-0035624,N'Keal Harry,TE,37,145.2,-5.004,-2.285
00-0024318,Bradley Smith,WR,26,43.8,-4.44,-2.289
00-0035359,David Sills,WR,27,48.1,-4.493,-2.289
00-0036020,Salvon Ahmed,RB,34,115.1,-5.144,-2.293
00-0027873,Jermaine Gresham,TE,90,655.9,-9.354,-2.296
00-0038951,Sean Tucker,RB,37,141.2,-5.471,-2.297
00-0031268,Walter Powell,WR,24,28.2,-4.196,-2.298
00-0033798,Mason Schreck,TE,22,3.6,-3.8,-2.298
00-0034788,Jaeden Graham,TE,26,41.4,-4.137,-2.299
00-0033464,Jehu Chesson,WR,22,1.6,-3.995,-2.315
00-0037091,Miles Melton,WR,26,36.0,-4.411,-2.315
00-0031055,Andre Williams,RB,37,144.3,-5.322,-2.318
00-0031697,Jordan Taylor,WR,26,45.2,-4.342,-2.324
00-0032599,Joshua Perkins,TE,24,25.4,-4.02,-2.326
00-0036268,Laviska Shenault,WR,52,305.6,-6.457,-2.333
00-0035480,Malik Taylor,WR,24,25.2,-4.169,-2.334
00-0038396,Eric Gray,RB,24,18.9,-4.327,-2.335
00-0030806,Nicholas Jacobs,TE,24,12.7,-4.277,-2.336
00-0037614,John Metchie,WR,35,116.4,-5.154,-2.338
00-0027135,Brandon Myers,TE,65,419.0,-7.49,-2.343
00-0034193,Kevin Rader,TE,23,1.6,-4.04,-2.343
00-0030095,Corey Fuller,WR,27,50.8,-4.529,-2.345
00-0032009,Adam Humphries,WR,82,595.3,-8.996,-2.345
00-0030085,Kenneth Stills,WR,110,860.4,-11.29,-2.351
00-0025396,Theodore Ginn,WR,92,688.4,-9.939,-2.354
00-0028090,Taylor Yates,QB,27,45.2,-4.901,-2.354
00-0033375,Timothy Patrick,WR,67,443.5,-7.703,-2.354
00-0033611,Roderick Seals-Jones,TE,48,251.3,-5.952,-2.355
00-0034676,James Washington,WR,51,290.3,-6.407,-2.355
00-0028156,Ryan Taylor,TE,24,11.0,-4.28,-2.357
00-0030990,Joshua Huff,WR,34,117.1,-5.113,-2.364
00-0035184,Devine Ozigbo,RB,24,15.7,-4.298,-2.364
00-0029667,Nicholas Toon,WR,26,36.2,-4.553,-2.366
00-0031560,Jaelen Strong,WR,27,49.5,-4.458,-2.379
00-0035341,Trenton Irwin,WR,33,95.1,-5.095,-2.383
00-0031273,Cameron Brate,TE,99,733.2,-9.813,-2.399
00-0035140,Carey Hardman,WR,69,460.1,-7.95,-2.401
00-0034614,Godwin Igwebuike,RB,26,25.7,-4.636,-2.413
00-0036345,K.J. Osborn,WR,54,309.1,-6.733,-2.413
00-0034273,Damion Ratley,WR,28,55.0,-4.582,-2.414
00-0036849,Chatarius Atwell,WR,50,264.3,-6.448,-2.414
00-0031291,James Wright,WR,26,36.8,-4.492,-2.422
00-0038555,Cantavious Bigsby,RB,38,138.3,-5.696,-2.422
00-0033838,Ferrell Edmunds,RB,26,30.8,-4.527,-2.424
00-0037282,James Mitchell,TE,26,25.6,-4.242,-2.427
00-0028202,Kenneth Draughn,RB,44,207.3,-5.973,-2.432
00-0031257,Paul Richardson,WR,57,333.5,-7.073,-2.436
00-0036527,Darryl Turner,WR,28,49.7,-4.657,-2.438
00-0035652,Ryan Finley,QB,26,24.6,-5.1,-2.443
00-0029141,Alfred Morris,RB,99,731.3,-10.685,-2.449
00-0031021,Jared Abbrederis,WR,25,20.5,-4.41,-2.46
00-0032170,Rashad Greene,WR,28,56.7,-4.616,-2.461
00-0031600,Keith Mumphery,WR,26,33.7,-4.484,-2.462
00-0028091,Jeremy Kerley,WR,76,521.3,-8.714,-2.465
00-0038558,Darnell Washington,TE,39,136.8,-5.335,-2.474
