season,week,player_id,name,pos,pts,pts_above_avg,pts_above_repl,WAA_week,WAR_week,week_sigma,startable
2014,1,00-0031209,Senorise Perry,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
2014,1,00-0031384,Richard Rodgers,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0029260,LaMichael James,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
2014,1,00-0025465,James Jones,WR,12.4,-5.09,0.6,-0.0553,0.0065,25.9,1
2014,1,00-0026143,Matthew Ryan,QB,31.42,13.43,19.78,0.1433,0.2057,25.9,1
2014,1,00-0027994,Shane Vereen,RB,18.1,-0.0,6.5,-0.0,0.0705,25.9,1
2014,1,00-0026164,Christopher Johnson,RB,20.1,2.0,8.5,0.0218,0.0919,25.9,1
2014,1,00-0031280,Derek Carr,QB,13.94,-4.05,2.3,-0.0441,0.0251,25.9,1
2014,1,00-0030061,Zachary Ertz,TE,18.2,-0.69,6.6,-0.0075,0.0716,25.9,1
2014,1,00-0027793,Antonio Brown,WR,22.6,5.11,10.8,0.0556,0.1161,25.9,1
2014,1,00-0020337,Stevonne Smith,WR,24.8,7.31,13.0,0.0792,0.1389,25.9,1
2014,1,00-0026995,Jeremy Maclin,WR,19.7,2.21,7.9,0.0241,0.0855,25.9,1
2014,1,00-0022942,Philip Rivers,QB,11.52,-6.47,-0.12,-0.0702,-0.0013,25.9,0
2014,1,00-0031375,Terrance West,RB,10.0,-8.1,-1.6,-0.0877,-0.0174,25.9,0
2014,1,00-0027874,Demaryius Thomas,WR,8.8,-8.69,-3.0,-0.0939,-0.0327,25.9,0
2014,1,00-0027996,James Smith,WR,8.0,-9.49,-3.8,-0.1024,-0.0414,25.9,0
2014,1,00-0023465,Earl Miller,TE,7.1,-11.79,-4.5,-0.1264,-0.049,25.9,0
2014,1,00-0027325,LeGarrette Blount,RB,6.6,-11.5,-5.0,-0.1235,-0.0544,25.9,0
2014,1,00-0027825,James Dray,TE,6.0,-12.89,-5.6,-0.1377,-0.0609,25.9,0
2014,1,00-0029004,Lance Dunbar,RB,5.1,-13.0,-6.5,-0.1389,-0.0705,25.9,0
2014,1,00-0027985,Lance Kendricks,TE,4.2,-14.69,-7.4,-0.156,-0.0802,25.9,0
2014,1,00-0030154,Frankie Hammond,WR,3.2,-14.29,-8.6,-0.152,-0.093,25.9,0
2014,1,00-0029854,Cortrelle Anderson,RB,2.7,-15.4,-8.9,-0.1632,-0.0961,25.9,0
2014,1,00-0029239,Brandon Bolden,RB,2.2,-15.9,-9.4,-0.1682,-0.1014,25.9,0
2014,1,00-0028958,Cory Harkey,TE,1.9,-16.99,-9.7,-0.1789,-0.1046,25.9,0
2014,1,00-0024324,Jason Avant,WR,1.0,-16.49,-10.8,-0.174,-0.1161,25.9,0
2014,1,00-0031376,Jerick McKinnon,RB,0.1,-18.0,-11.5,-0.1887,-0.1234,25.9,0
2014,1,00-0031068,Ryan Grant,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0026293,Matthew Slater,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0028116,Aldrick Robinson,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0026983,Darrius Heyward-Bey,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0030049,Christopher Gragg,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0030874,Damien Williams,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
2014,1,00-0030147,Russell Shepard,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0030181,John Doyle,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0027003,Donald Brown,RB,-0.2,-18.3,-11.8,-0.1916,-0.1265,25.9,0
2014,1,00-0027690,Eric Decker,WR,12.4,-5.09,0.6,-0.0553,0.0065,25.9,1
2014,1,00-0021429,Carson Palmer,QB,21.06,3.07,9.42,0.0335,0.1016,25.9,1
2014,1,00-0027029,LeSean McCoy,RB,17.5,-0.6,5.9,-0.0066,0.0641,25.9,1
2014,1,00-0026855,Antone Smith,RB,13.1,-5.0,1.5,-0.0544,0.0164,25.9,1
2014,1,00-0021206,Joshua McCown,QB,13.02,-4.97,1.38,-0.054,0.0151,25.9,1
2014,1,00-0029689,Dwayne Allen,TE,17.4,-1.49,5.8,-0.0162,0.063,25.9,1
2014,1,00-0026176,Jordy Nelson,WR,17.3,-0.19,5.5,-0.0021,0.0598,25.9,1
2014,1,00-0030821,Allen Hurns,WR,27.0,9.51,15.2,0.1026,0.1612,25.9,1
2014,1,00-0030564,DeAndre Hopkins,WR,18.9,1.41,7.1,0.0154,0.077,25.9,1
2014,1,00-0025394,Adrian Peterson,RB,11.3,-6.8,-0.3,-0.0738,-0.0033,25.9,0
2014,1,00-0028905,Christopher Owusu,WR,10.0,-7.49,-1.8,-0.0811,-0.0196,25.9,0
